File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisGamesIDChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisGamesIDChart($in_result),9,8,6,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisGameSEOChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisGameSEOChart($in_result),9,8,6,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selAuthorsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resAuthorsChart($in_result),7,6,4,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selStyleGroupsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resStyleGroupsChart($in_result),8,7,5,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selStylesChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resStylesChart($in_result),19,15,9,3,0,0,4,23,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisStyleChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisStyleChart($in_result),10,9,7,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisFormatChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisFormatChart($in_result),8,7,5,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selPositionsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resPositionsChart($in_result),7,6,4,1,0,0,1,11,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisLayoutChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisLayoutChart($in_result),14,13,11,1,0,0,1,7,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisPlatformChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisPlatformChart($in_result),8,7,5,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisGamesRecordChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisGamesRecordChart($in_result),8,7,5,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisStylesRecordChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisStylesRecordChart($in_result),8,7,5,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selBindingsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resBindingsChart($in_result),7,6,4,1,0,0,1,15,
